Menu Type,Usage Scenario,Menu Depth,Target Item
Radial,Single,2,Fish
Radial,Single,2,Bottoms
Radial,Single,2,Fruit
Radial,Single,2,Fruit
Radial,Single,2,Fruit
Radial,Single,3,Strawberry
Radial,Single,3,Pork
Radial,Single,3,Cap
Radial,Single,3,Bacon
Radial,Single,3,Snake
Radial,Single,1,Clothing
Radial,Single,1,Clothing
Radial,Single,1,Continents
Radial,Single,1,Animals
Radial,Single,1,Animals
Radial,Multi,2,Mammals
Radial,Multi,2,Hats
Radial,Multi,2,Vegetables
Radial,Multi,2,Hats
Radial,Multi,2,Mammals
Radial,Multi,3,England
Radial,Multi,3,Butter
Radial,Multi,3,Dogs
Radial,Multi,3,Potatoes
Radial,Multi,3,Heels
Radial,Multi,1,Continents
Radial,Multi,1,Clothing
Radial,Multi,1,Food
Radial,Multi,1,Continents
Radial,Multi,1,Food
Marking,Single,2,Fruit
Marking,Single,2,Europe
Marking,Single,2,Birds
Marking,Single,2,Mammals
Marking,Single,2,Bottoms
Marking,Single,3,Bacon
Marking,Single,3,Shark
Marking,Single,3,Ham
Marking,Single,3,Sombrero
Marking,Single,3,Leggings
Marking,Single,1,Continents
Marking,Single,1,Clothing
Marking,Single,1,Clothing
Marking,Single,1,Clothing
Marking,Single,1,Food
Marking,Multi,2,Africa
Marking,Multi,2,America
Marking,Multi,2,Meat
Marking,Multi,2,Asia
Marking,Multi,2,Mammals
Marking,Multi,3,Tights
Marking,Multi,3,Boots
Marking,Multi,3,Potatoes
Marking,Multi,3,Leggings
Marking,Multi,3,Tights
Marking,Multi,1,Animals
Marking,Multi,1,Continents
Marking,Multi,1,Clothing
Marking,Multi,1,Food
Marking,Multi,1,Clothing
