Menu Type,Usage Scenario,Menu Depth,Target Item
Radial,Single,1,Food
Radial,Single,1,Food
Radial,Single,1,Food
Radial,Single,1,Animals
Radial,Single,1,Clothing
Radial,Single,2,Hats
Radial,Single,2,Vegetables
Radial,Single,2,Fruit
Radial,Single,2,Africa
Radial,Single,2,Fish
Radial,Single,3,Dogs
Radial,Single,3,Japan
Radial,Single,3,Tights
Radial,Single,3,England
Radial,Single,3,Spain
Radial,Multi,1,Continents
Radial,Multi,1,Continents
Radial,Multi,1,Animals
Radial,Multi,1,Food
Radial,Multi,1,Animals
Radial,Multi,2,Fish
Radial,Multi,2,Reptiles
Radial,Multi,2,Meat
Radial,Multi,2,Asia
Radial,Multi,2,Asia
Radial,Multi,3,Beret
Radial,Multi,3,Nigeria
Radial,Multi,3,Cheese
Radial,Multi,3,Hummingbird
Radial,Multi,3,Brazil
Marking,Single,1,Clothing
Marking,Single,1,Clothing
Marking,Single,1,Continents
Marking,Single,1,Clothing
Marking,Single,1,Clothing
Marking,Single,2,Meat
Marking,Single,2,Asia
Marking,Single,2,Africa
Marking,Single,2,Meat
Marking,Single,2,Bottoms
Marking,Single,3,Beret
Marking,Single,3,Hamsters
Marking,Single,3,Coat
Marking,Single,3,Milk
Marking,Single,3,France
Marking,Multi,1,Food
Marking,Multi,1,Food
Marking,Multi,1,Clothing
Marking,Multi,1,Food
Marking,Multi,1,Continents
Marking,Multi,2,Hats
Marking,Multi,2,America
Marking,Multi,2,Europe
Marking,Multi,2,Mammals
Marking,Multi,2,Tops
Marking,Multi,3,Catfish
Marking,Multi,3,Germany
Marking,Multi,3,Bacon
Marking,Multi,3,Crocodile
Marking,Multi,3,Owl
