Menu Type,Usage Scenario,Menu Depth,Target Item
Marking,Single,3,Strawberry
Marking,Single,3,Cap
Marking,Single,3,Bacon
Marking,Single,3,Germany
Marking,Single,3,Kenya
Marking,Single,1,Continents
Marking,Single,1,Continents
Marking,Single,1,Animals
Marking,Single,1,Animals
Marking,Single,1,Clothing
Marking,Single,2,Shoes
Marking,Single,2,Birds
Marking,Single,2,Asia
Marking,Single,2,Africa
Marking,Single,2,Fruit
Marking,Multi,3,T-Shirt
Marking,Multi,3,Fox
Marking,Multi,3,Pineapple
Marking,Multi,3,Beef
Marking,Multi,3,Snake
Marking,Multi,1,Food
Marking,Multi,1,Food
Marking,Multi,1,Clothing
Marking,Multi,1,Animals
Marking,Multi,1,Continents
Marking,Multi,2,Birds
Marking,Multi,2,Europe
Marking,Multi,2,Hats
Marking,Multi,2,Fish
Marking,Multi,2,Reptiles
Radial,Single,3,Jeans
Radial,Single,3,Potatoes
Radial,Single,3,Beef
Radial,Single,3,Onion
Radial,Single,3,Owl
Radial,Single,1,Continents
Radial,Single,1,Clothing
Radial,Single,1,Animals
Radial,Single,1,Continents
Radial,Single,1,Clothing
Radial,Single,2,Fruit
Radial,Single,2,Africa
Radial,Single,2,Meat
Radial,Single,2,Vegetables
Radial,Single,2,Europe
Radial,Multi,3,Celery
Radial,Multi,3,Congo
Radial,Multi,3,Catfish
Radial,Multi,3,Beret
Radial,Multi,3,Nigeria
Radial,Multi,1,Food
Radial,Multi,1,Animals
Radial,Multi,1,Continents
Radial,Multi,1,Animals
Radial,Multi,1,Continents
Radial,Multi,2,Vegetables
Radial,Multi,2,Asia
Radial,Multi,2,Fish
Radial,Multi,2,Europe
Radial,Multi,2,Mammals
