Menu Type,Usage Scenario,Menu Depth,Target Item
Marking,Single,2,Shoes
Marking,Single,2,Africa
Marking,Single,2,America
Marking,Single,2,Shoes
Marking,Single,2,Fruit
Marking,Single,3,Dogs
Marking,Single,3,Yoghurt
Marking,Single,3,Mexico
Marking,Single,3,Brazil
Marking,Single,3,Germany
Marking,Single,1,Clothing
Marking,Single,1,Continents
Marking,Single,1,Continents
Marking,Single,1,Food
Marking,Single,1,Clothing
Marking,Multi,2,Shoes
Marking,Multi,2,Shoes
Marking,Multi,2,Fruit
Marking,Multi,2,Reptiles
Marking,Multi,2,Asia
Marking,Multi,3,Congo
Marking,Multi,3,Jacket
Marking,Multi,3,Malaysia
Marking,Multi,3,Penguin
Marking,Multi,3,Cheese
Marking,Multi,1,Food
Marking,Multi,1,Food
Marking,Multi,1,Continents
Marking,Multi,1,Animals
Marking,Multi,1,Clothing
Radial,Single,2,Fish
Radial,Single,2,Asia
Radial,Single,2,Tops
Radial,Single,2,Asia
Radial,Single,2,Birds
Radial,Single,3,Pineapple
Radial,Single,3,Snake
Radial,Single,3,Beef
Radial,Single,3,Nigeria
Radial,Single,3,Brazil
Radial,Single,1,Clothing
Radial,Single,1,Clothing
Radial,Single,1,Food
Radial,Single,1,Food
Radial,Single,1,Animals
Radial,Multi,2,Africa
Radial,Multi,2,Birds
Radial,Multi,2,Vegetables
Radial,Multi,2,Europe
Radial,Multi,2,Bottoms
Radial,Multi,3,Malaysia
Radial,Multi,3,Beret
Radial,Multi,3,USA
Radial,Multi,3,Japan
Radial,Multi,3,Mexico
Radial,Multi,1,Animals
Radial,Multi,1,Clothing
Radial,Multi,1,Food
Radial,Multi,1,Food
Radial,Multi,1,Animals
