Menu Type,Usage Scenario,Menu Depth,Target Item
Radial,Single,2,Tops
Radial,Single,2,Bottoms
Radial,Single,2,Reptiles
Radial,Single,2,Tops
Radial,Single,2,Europe
Radial,Single,3,Butter
Radial,Single,3,Pineapple
Radial,Single,3,Beret
Radial,Single,3,Tophat
Radial,Single,3,Orange
Radial,Single,1,Continents
Radial,Single,1,Clothing
Radial,Single,1,Food
Radial,Single,1,Clothing
Radial,Single,1,Food
Radial,Multi,2,Bottoms
Radial,Multi,2,Vegetables
Radial,Multi,2,America
Radial,Multi,2,Europe
Radial,Multi,2,Vegetables
Radial,Multi,3,Apple
Radial,Multi,3,Potatoes
Radial,Multi,3,Onion
Radial,Multi,3,Leggings
Radial,Multi,3,Onion
Radial,Multi,1,Animals
Radial,Multi,1,Clothing
Radial,Multi,1,Food
Radial,Multi,1,Food
Radial,Multi,1,Animals
Marking,Single,2,Africa
Marking,Single,2,Bottoms
Marking,Single,2,Fruit
Marking,Single,2,Hats
Marking,Single,2,Tops
Marking,Single,3,Spain
Marking,Single,3,Malaysia
Marking,Single,3,Garlic
Marking,Single,3,Beret
Marking,Single,3,Boots
Marking,Single,1,Animals
Marking,Single,1,Continents
Marking,Single,1,Food
Marking,Single,1,Food
Marking,Single,1,Food
Marking,Multi,2,Mammals
Marking,Multi,2,America
Marking,Multi,2,Fish
Marking,Multi,2,Vegetables
Marking,Multi,2,Fruit
Marking,Multi,3,Japan
Marking,Multi,3,Catfish
Marking,Multi,3,Zimbabwe
Marking,Multi,3,Onion
Marking,Multi,3,Zimbabwe
Marking,Multi,1,Clothing
Marking,Multi,1,Animals
Marking,Multi,1,Animals
Marking,Multi,1,Continents
Marking,Multi,1,Food
