Menu Type,Usage Scenario,Menu Depth,Target Item
Marking,Single,1,Continents
Marking,Single,1,Continents
Marking,Single,1,Animals
Marking,Single,1,Continents
Marking,Single,1,Clothing
Marking,Single,2,America
Marking,Single,2,Europe
Marking,Single,2,Africa
Marking,Single,2,Mammals
Marking,Single,2,Bottoms
Marking,Single,3,USA
Marking,Single,3,Beret
Marking,Single,3,Canada
Marking,Single,3,Fox
Marking,Single,3,Cats
Marking,Multi,1,Animals
Marking,Multi,1,Food
Marking,Multi,1,Food
Marking,Multi,1,Clothing
Marking,Multi,1,Food
Marking,Multi,2,Vegetables
Marking,Multi,2,Meat
Marking,Multi,2,Shoes
Marking,Multi,2,Birds
Marking,Multi,2,Bottoms
Marking,Multi,3,Tights
Marking,Multi,3,Cats
Marking,Multi,3,Lizard
Marking,Multi,3,England
Marking,Multi,3,Congo
Radial,Single,1,Food
Radial,Single,1,Continents
Radial,Single,1,Animals
Radial,Single,1,Clothing
Radial,Single,1,Food
Radial,Single,2,Africa
Radial,Single,2,Mammals
Radial,Single,2,Reptiles
Radial,Single,2,Shoes
Radial,Single,2,Fish
Radial,Single,3,Zimbabwe
Radial,Single,3,Singapore
Radial,Single,3,Nigeria
Radial,Single,3,Sneakers
Radial,Single,3,Spain
Radial,Multi,1,Animals
Radial,Multi,1,Animals
Radial,Multi,1,Continents
Radial,Multi,1,Animals
Radial,Multi,1,Continents
Radial,Multi,2,Tops
Radial,Multi,2,Shoes
Radial,Multi,2,Fish
Radial,Multi,2,Bottoms
Radial,Multi,2,Reptiles
Radial,Multi,3,Milk
Radial,Multi,3,Germany
Radial,Multi,3,England
Radial,Multi,3,Sombrero
Radial,Multi,3,Orange
