Menu Type,Usage Scenario,Menu Depth,Target Item
Radial,Single,3,Skirt
Radial,Single,3,Heels
Radial,Single,3,Coat
Radial,Single,3,Parrot
Radial,Single,3,Yoghurt
Radial,Single,1,Continents
Radial,Single,1,Continents
Radial,Single,1,Animals
Radial,Single,1,Food
Radial,Single,1,Continents
Radial,Single,2,Birds
Radial,Single,2,Dairy
Radial,Single,2,America
Radial,Single,2,America
Radial,Single,2,Tops
Radial,Multi,3,Celery
Radial,Multi,3,Jacket
Radial,Multi,3,Tights
Radial,Multi,3,Thailand
Radial,Multi,3,Cats
Radial,Multi,1,Continents
Radial,Multi,1,Clothing
Radial,Multi,1,Clothing
Radial,Multi,1,Clothing
Radial,Multi,1,Clothing
Radial,Multi,2,Shoes
Radial,Multi,2,Reptiles
Radial,Multi,2,Africa
Radial,Multi,2,Vegetables
Radial,Multi,2,Dairy
Marking,Single,3,Goldfish
Marking,Single,3,Sombrero
Marking,Single,3,Mexico
Marking,Single,3,Skirt
Marking,Single,3,Heels
Marking,Single,1,Animals
Marking,Single,1,Continents
Marking,Single,1,Animals
Marking,Single,1,Clothing
Marking,Single,1,Animals
Marking,Single,2,Tops
Marking,Single,2,Europe
Marking,Single,2,Reptiles
Marking,Single,2,Bottoms
Marking,Single,2,America
Marking,Multi,3,Snake
Marking,Multi,3,Singapore
Marking,Multi,3,Hamsters
Marking,Multi,3,Shark
Marking,Multi,3,Pineapple
Marking,Multi,1,Clothing
Marking,Multi,1,Clothing
Marking,Multi,1,Clothing
Marking,Multi,1,Clothing
Marking,Multi,1,Animals
Marking,Multi,2,America
Marking,Multi,2,Meat
Marking,Multi,2,Fish
Marking,Multi,2,Fish
Marking,Multi,2,America
