Menu Type,Usage Scenario,Menu Depth,Target Item
Marking,Single,2,Tops
Marking,Single,2,Africa
Marking,Single,2,Shoes
Marking,Single,2,Reptiles
Marking,Single,2,Mammals
Marking,Single,3,Cheese
Marking,Single,3,Cats
Marking,Single,3,Cap
Marking,Single,3,Aligator
Marking,Single,3,Ham
Marking,Single,1,Animals
Marking,Single,1,Clothing
Marking,Single,1,Animals
Marking,Single,1,Clothing
Marking,Single,1,Food
Marking,Multi,2,Asia
Marking,Multi,2,Vegetables
Marking,Multi,2,America
Marking,Multi,2,Vegetables
Marking,Multi,2,Fruit
Marking,Multi,3,Sneakers
Marking,Multi,3,Garlic
Marking,Multi,3,Parrot
Marking,Multi,3,T-Shirt
Marking,Multi,3,Canada
Marking,Multi,1,Clothing
Marking,Multi,1,Clothing
Marking,Multi,1,Animals
Marking,Multi,1,Food
Marking,Multi,1,Continents
Radial,Single,2,Vegetables
Radial,Single,2,Fruit
Radial,Single,2,Dairy
Radial,Single,2,Mammals
Radial,Single,2,Tops
Radial,Single,3,Onion
Radial,Single,3,Aligator
Radial,Single,3,Fox
Radial,Single,3,Nigeria
Radial,Single,3,Yoghurt
Radial,Single,1,Animals
Radial,Single,1,Food
Radial,Single,1,Food
Radial,Single,1,Clothing
Radial,Single,1,Animals
Radial,Multi,2,Vegetables
Radial,Multi,2,Europe
Radial,Multi,2,Shoes
Radial,Multi,2,Shoes
Radial,Multi,2,America
Radial,Multi,3,Owl
Radial,Multi,3,Garlic
Radial,Multi,3,Beret
Radial,Multi,3,Leggings
Radial,Multi,3,Penguin
Radial,Multi,1,Food
Radial,Multi,1,Food
Radial,Multi,1,Food
Radial,Multi,1,Food
Radial,Multi,1,Continents
