Menu Type,Usage Scenario,Menu Depth,Target Item
Marking,Single,1,Clothing
Marking,Single,1,Animals
Marking,Single,1,Clothing
Marking,Single,1,Animals
Marking,Single,1,Clothing
Marking,Single,2,Africa
Marking,Single,2,Dairy
Marking,Single,2,Asia
Marking,Single,2,Vegetables
Marking,Single,2,Bottoms
Marking,Single,3,Tophat
Marking,Single,3,Germany
Marking,Single,3,Garlic
Marking,Single,3,Pineapple
Marking,Single,3,Aligator
Marking,Multi,1,Continents
Marking,Multi,1,Continents
Marking,Multi,1,Clothing
Marking,Multi,1,Food
Marking,Multi,1,Clothing
Marking,Multi,2,Africa
Marking,Multi,2,Tops
Marking,Multi,2,Africa
Marking,Multi,2,Dairy
Marking,Multi,2,Mammals
Marking,Multi,3,Kenya
Marking,Multi,3,Germany
Marking,Multi,3,Yoghurt
Marking,Multi,3,Hummingbird
Marking,Multi,3,USA
Radial,Single,1,Continents
Radial,Single,1,Clothing
Radial,Single,1,Food
Radial,Single,1,Clothing
Radial,Single,1,Continents
Radial,Single,2,America
Radial,Single,2,Shoes
Radial,Single,2,Asia
Radial,Single,2,Birds
Radial,Single,2,Vegetables
Radial,Single,3,Leggings
Radial,Single,3,Kenya
Radial,Single,3,Parrot
Radial,Single,3,Dogs
Radial,Single,3,Vest
Radial,Multi,1,Food
Radial,Multi,1,Animals
Radial,Multi,1,Food
Radial,Multi,1,Clothing
Radial,Multi,1,Clothing
Radial,Multi,2,Tops
Radial,Multi,2,Mammals
Radial,Multi,2,Mammals
Radial,Multi,2,Fruit
Radial,Multi,2,Tops
Radial,Multi,3,Thailand
Radial,Multi,3,Tophat
Radial,Multi,3,France
Radial,Multi,3,Bacon
Radial,Multi,3,Dogs
