Menu Type,Usage Scenario,Menu Depth,Target Item
Radial,Single,1,Clothing
Radial,Single,1,Clothing
Radial,Single,1,Continents
Radial,Single,1,Continents
Radial,Single,1,Clothing
Radial,Single,2,Africa
Radial,Single,2,Birds
Radial,Single,2,Vegetables
Radial,Single,2,Reptiles
Radial,Single,2,Hats
Radial,Single,3,Jacket
Radial,Single,3,Spain
Radial,Single,3,Beef
Radial,Single,3,Hummingbird
Radial,Single,3,T-Shirt
Radial,Multi,1,Continents
Radial,Multi,1,Animals
Radial,Multi,1,Continents
Radial,Multi,1,Animals
Radial,Multi,1,Continents
Radial,Multi,2,Bottoms
Radial,Multi,2,Reptiles
Radial,Multi,2,Europe
Radial,Multi,2,Asia
Radial,Multi,2,Vegetables
Radial,Multi,3,Cheese
Radial,Multi,3,Parrot
Radial,Multi,3,Skirt
Radial,Multi,3,Celery
Radial,Multi,3,Hummingbird
Marking,Single,1,Clothing
Marking,Single,1,Animals
Marking,Single,1,Food
Marking,Single,1,Clothing
Marking,Single,1,Continents
Marking,Single,2,Africa
Marking,Single,2,Vegetables
Marking,Single,2,Fruit
Marking,Single,2,Vegetables
Marking,Single,2,Birds
Marking,Single,3,Garlic
Marking,Single,3,USA
Marking,Single,3,Penguin
Marking,Single,3,Nigeria
Marking,Single,3,Canada
Marking,Multi,1,Animals
Marking,Multi,1,Animals
Marking,Multi,1,Continents
Marking,Multi,1,Clothing
Marking,Multi,1,Animals
Marking,Multi,2,Africa
Marking,Multi,2,Reptiles
Marking,Multi,2,Meat
Marking,Multi,2,Dairy
Marking,Multi,2,Mammals
Marking,Multi,3,Shark
Marking,Multi,3,Snake
Marking,Multi,3,Aligator
Marking,Multi,3,Skirt
Marking,Multi,3,Congo
